TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,PRCP
35,45,29,5.37,340,320,17,23.9,,0.02
35,47,26,4.7,10,10,13,17,,0
44,68,27,9.62,220,250,21.9,31.1,,0.01
57,63,47,4.47,100,90,12.1,15,,0.02
52,64,47,9.17,310,310,21,30,,0.05
55,58,33,8.72,330,270,21,28,,0
38,50,25,7.38,120,140,18.1,23.9,,0
53,65,47,11.63,310,310,21.9,33.1,,0.36
47,55,32,6.04,310,320,17,23.9,,0
38,53,25,2.91,110,110,14.1,17,,0
43,56,30,7.61,110,120,21,29.1,,0
51,57,47,13.42,130,120,25.9,36.9,,0.43
46,51,38,11.18,240,240,21.9,34,,0.04
42,50,34,5.82,330,310,15,21,,0
43,49,37,8.72,160,150,18.1,23,,0.62
49,54,46,8.28,260,270,19.9,30,,0.04
53,64,44,5.14,170,160,18.1,21.9,,0
49,63,36,4.7,110,,12.1,,,0
53,76,34,5.14,220,210,16.1,19.9,,0
60,73,44,9.62,200,210,25.1,33.1,,0
57,65,41,10.74,270,260,25.9,38,,0.36
42,48,34,6.71,260,250,18.1,28,,0.11
40,53,30,6.93,230,240,15,19,,0
44,57,28,4.03,210,200,12.1,17,,0
37,51,26,1.12,130,100,8.1,8.9,,0
40,54,26,4.7,130,130,14.1,19.9,,0
48,50,44,12.3,190,110,25.9,33.1,,0.53
41,44,33,10.07,320,260,19.9,25.9,,0.2
37,48,33,7.16,310,310,18.1,25.9,,0
46,60,32,3.8,130,130,13,15,,0
39,52,27,6.04,110,100,17,21.9,,0
47,54,43,12.97,140,140,23,29.1,,0
55,62,52,18.34,160,160,35.1,48.1,,0.08
51,57,34,14.76,220,210,30,40,,0.01
36,38,31,10.74,250,240,21.9,33.1,,0
31,35,27,5.82,330,350,17,21,,0.2
28,32,18,6.04,310,290,14.1,19.9,,0.02
26,33,16,6.04,190,210,10.1,14.1,,0.01
34,41,28,4.25,260,270,8.9,12.1,,0
37,50,26,11.86,170,180,21.9,29.1,,0
